id,collection,sector,slug,scope,risk,file,source,license
00-foundation-and-methods-administration-sector-expert,00-foundation-and-methods,Administration,administration,"records, correspondence, meetings, scheduling, forms, policies and office coordination",medium,prompts/00-foundation-and-methods/administration/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-personal-knowledge-management-sector-expert,00-foundation-and-methods,Personal Knowledge Management,personal-knowledge-management,"notes, taxonomies, retrieval, context packs, summaries, archives and knowledge graphs",medium,prompts/00-foundation-and-methods/personal-knowledge-management/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-productivity-optimization-sector-expert,00-foundation-and-methods,Productivity and Optimization,productivity-optimization,"prioritization, time, focus, workflow design, automation and continuous improvement",medium,prompts/00-foundation-and-methods/productivity-optimization/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-creativity-innovation-sector-expert,00-foundation-and-methods,Creativity and Innovation,creativity-innovation,"divergent thinking, concept development, experimentation, invention and innovation portfolios",medium,prompts/00-foundation-and-methods/creativity-innovation/sector-expert.md,original,CC0-1.0
10-personal-life-personal-growth-sector-expert,10-personal-life,Personal Growth,personal-growth,"self-reflection, habits, goals, resilience, values and behavior change",medium,prompts/10-personal-life/personal-growth/sector-expert.md,original,CC0-1.0
10-personal-life-career-development-sector-expert,10-personal-life,Career Development,career-development,"career strategy, resumes, professional profiles, interviews, skills and transitions",medium,prompts/10-personal-life/career-development/sector-expert.md,original,CC0-1.0
10-personal-life-relationships-sector-expert,10-personal-life,Relationships,relationships,"communication, conflict resolution, boundaries, trust and relationship maintenance",medium,prompts/10-personal-life/relationships/sector-expert.md,original,CC0-1.0
10-personal-life-family-household-sector-expert,10-personal-life,Family and Household,family-household,"family planning, routines, responsibilities, caregiving and household decisions",medium,prompts/10-personal-life/family-household/sector-expert.md,original,CC0-1.0
10-personal-life-parenting-child-development-sector-expert,10-personal-life,Parenting and Child Development,parenting-child-development,"age-appropriate development, routines, learning, behavior and parent-teacher collaboration",medium,prompts/10-personal-life/parenting-child-development/sector-expert.md,original,CC0-1.0
10-personal-life-education-learning-sector-expert,10-personal-life,Education and Learning,education-learning,"study plans, tutoring, curricula, assessment, instructional design and lifelong learning",medium,prompts/10-personal-life/education-learning/sector-expert.md,original,CC0-1.0
10-personal-life-health-wellness-sector-expert,10-personal-life,Health and Wellness,health-wellness,"wellness planning, prevention discussions, health literacy and appointment preparation",high,prompts/10-personal-life/health-wellness/sector-expert.md,original,CC0-1.0
10-personal-life-mental-health-wellbeing-sector-expert,10-personal-life,Mental Health and Wellbeing,mental-health-wellbeing,"emotional awareness, coping tools, therapy preparation and crisis-aware support boundaries",high,prompts/10-personal-life/mental-health-wellbeing/sector-expert.md,original,CC0-1.0
10-personal-life-fitness-sports-sector-expert,10-personal-life,Fitness and Sports,fitness-sports,"training plans, technique, recovery, coaching, performance and sports participation",medium,prompts/10-personal-life/fitness-sports/sector-expert.md,original,CC0-1.0
10-personal-life-nutrition-food-sector-expert,10-personal-life,Nutrition and Food,nutrition-food,"meal planning, dietary research, cooking, food safety and nutrition discussions",medium,prompts/10-personal-life/nutrition-food/sector-expert.md,original,CC0-1.0
10-personal-life-medical-care-sector-expert,10-personal-life,Medical Care,medical-care,"symptom organization, clinical questions, records, care navigation and evidence summaries",high,prompts/10-personal-life/medical-care/sector-expert.md,original,CC0-1.0
10-personal-life-disability-accessibility-sector-expert,10-personal-life,Disability and Accessibility,disability-accessibility,"inclusive design, accommodations, assistive technology and accessibility planning",medium,prompts/10-personal-life/disability-accessibility/sector-expert.md,original,CC0-1.0
10-personal-life-eldercare-longevity-sector-expert,10-personal-life,Eldercare and Longevity,eldercare-longevity,"care coordination, aging-in-place, family discussions and long-term support",medium,prompts/10-personal-life/eldercare-longevity/sector-expert.md,original,CC0-1.0
10-personal-life-housing-home-sector-expert,10-personal-life,Housing and Home,housing-home,"renting, buying, maintenance, renovations, utilities and household systems",medium,prompts/10-personal-life/housing-home/sector-expert.md,original,CC0-1.0
10-personal-life-personal-finance-sector-expert,10-personal-life,Personal Finance,personal-finance,"budgeting, savings, debt, taxes, cash flow, major purchases and financial goals",high,prompts/10-personal-life/personal-finance/sector-expert.md,original,CC0-1.0
10-personal-life-insurance-personal-risk-sector-expert,10-personal-life,Insurance and Personal Risk,insurance-personal-risk,"coverage, exclusions, premiums, claims, family protection and risk registers",high,prompts/10-personal-life/insurance-personal-risk/sector-expert.md,original,CC0-1.0
10-personal-life-personal-legal-civic-sector-expert,10-personal-life,Personal Legal and Civic Matters,personal-legal-civic,"document preparation, rights research, contracts, civic services and lawyer questions",high,prompts/10-personal-life/personal-legal-civic/sector-expert.md,original,CC0-1.0
10-personal-life-travel-tourism-sector-expert,10-personal-life,Travel and Tourism,travel-tourism,"itineraries, destinations, bookings, budgets, safety and accessible travel",medium,prompts/10-personal-life/travel-tourism/sector-expert.md,original,CC0-1.0
10-personal-life-relocation-immigration-sector-expert,10-personal-life,Relocation and Immigration,relocation-immigration,"country comparison, visas, housing, schools, moving logistics and settlement",medium,prompts/10-personal-life/relocation-immigration/sector-expert.md,original,CC0-1.0
10-personal-life-pet-animal-care-sector-expert,10-personal-life,Pet and Animal Care,pet-animal-care,"daily care, training, veterinary preparation, documentation and travel",medium,prompts/10-personal-life/pet-animal-care/sector-expert.md,original,CC0-1.0
10-personal-life-religion-spirituality-ethics-sector-expert,10-personal-life,"Religion, Spirituality and Ethics",religion-spirituality-ethics,"comparative study, reflection, practices, community and ethical reasoning",medium,prompts/10-personal-life/religion-spirituality-ethics/sector-expert.md,original,CC0-1.0
10-personal-life-emergency-preparedness-sector-expert,10-personal-life,Emergency Preparedness,emergency-preparedness,"contacts, go-bags, evacuation, continuity, incident information and escalation",high,prompts/10-personal-life/emergency-preparedness/sector-expert.md,original,CC0-1.0
20-business-functions-entrepreneurship-startups-sector-expert,20-business-functions,Entrepreneurship and Startups,entrepreneurship-startups,"opportunity discovery, validation, business models, fundraising and venture building",medium,prompts/20-business-functions/entrepreneurship-startups/sector-expert.md,original,CC0-1.0
20-business-functions-business-strategy-sector-expert,20-business-functions,Business Strategy,business-strategy,"mission, strategic analysis, competitive advantage, growth and execution",medium,prompts/20-business-functions/business-strategy/sector-expert.md,original,CC0-1.0
20-business-functions-business-analysis-sector-expert,20-business-functions,Business Analysis,business-analysis,"requirements, processes, stakeholders, capabilities, gaps and business cases",medium,prompts/20-business-functions/business-analysis/sector-expert.md,original,CC0-1.0
20-business-functions-product-management-sector-expert,20-business-functions,Product Management,product-management,"discovery, requirements, roadmaps, prioritization, launch and product metrics",medium,prompts/20-business-functions/product-management/sector-expert.md,original,CC0-1.0
20-business-functions-project-management-sector-expert,20-business-functions,Project Management,project-management,"scope, schedule, resources, risks, delivery and lessons learned",medium,prompts/20-business-functions/project-management/sector-expert.md,original,CC0-1.0
20-business-functions-program-portfolio-management-sector-expert,20-business-functions,Program and Portfolio Management,program-portfolio-management,"cross-project dependencies, governance, investment prioritization and benefits realization",medium,prompts/20-business-functions/program-portfolio-management/sector-expert.md,original,CC0-1.0
20-business-functions-finance-accounting-sector-expert,20-business-functions,Finance and Accounting,finance-accounting,"statements, controls, accounting workflows, analysis, audit preparation and reporting",medium,prompts/20-business-functions/finance-accounting/sector-expert.md,original,CC0-1.0
20-business-functions-fp-and-a-treasury-sector-expert,20-business-functions,FP&A and Treasury,fp-and-a-treasury,"budgets, forecasts, cash, working capital, scenarios and capital planning",medium,prompts/20-business-functions/fp-and-a-treasury/sector-expert.md,original,CC0-1.0
20-business-functions-investment-valuation-sector-expert,20-business-functions,Investment and Valuation,investment-valuation,"due diligence, comparable analysis, DCF, portfolio research and downside scenarios",high,prompts/20-business-functions/investment-valuation/sector-expert.md,original,CC0-1.0
20-business-functions-human-resources-sector-expert,20-business-functions,Human Resources,human-resources,"workforce planning, recruitment, performance, compensation, policies and employee relations",medium,prompts/20-business-functions/human-resources/sector-expert.md,original,CC0-1.0
20-business-functions-learning-development-sector-expert,20-business-functions,Learning and Development,learning-development,"skills analysis, training, curricula, coaching and effectiveness measurement",medium,prompts/20-business-functions/learning-development/sector-expert.md,original,CC0-1.0
20-business-functions-management-leadership-sector-expert,20-business-functions,Management and Leadership,management-leadership,"delegation, feedback, team systems, organizational design and change leadership",medium,prompts/20-business-functions/management-leadership/sector-expert.md,original,CC0-1.0
20-business-functions-marketing-brand-sector-expert,20-business-functions,Marketing and Brand,marketing-brand,"segmentation, positioning, brand, campaigns, channels and marketing measurement",medium,prompts/20-business-functions/marketing-brand/sector-expert.md,original,CC0-1.0
20-business-functions-sales-business-development-sector-expert,20-business-functions,Sales and Business Development,sales-business-development,"prospecting, discovery, proposals, negotiation, partnerships and pipeline",medium,prompts/20-business-functions/sales-business-development/sector-expert.md,original,CC0-1.0
20-business-functions-customer-experience-success-sector-expert,20-business-functions,Customer Experience and Success,customer-experience-success,"journeys, onboarding, adoption, value realization, retention and voice of customer",medium,prompts/20-business-functions/customer-experience-success/sector-expert.md,original,CC0-1.0
20-business-functions-customer-service-support-sector-expert,20-business-functions,Customer Service and Support,customer-service-support,"service operations, knowledge bases, escalation, quality and support analytics",medium,prompts/20-business-functions/customer-service-support/sector-expert.md,original,CC0-1.0
20-business-functions-operations-process-sector-expert,20-business-functions,Operations and Process,operations-process,"operating models, capacity, SOPs, process control and continuous improvement",medium,prompts/20-business-functions/operations-process/sector-expert.md,original,CC0-1.0
20-business-functions-procurement-vendor-management-sector-expert,20-business-functions,Procurement and Vendor Management,procurement-vendor-management,"sourcing, requirements, RFPs, evaluation, contracts and supplier performance",medium,prompts/20-business-functions/procurement-vendor-management/sector-expert.md,original,CC0-1.0
20-business-functions-supply-chain-logistics-sector-expert,20-business-functions,Supply Chain and Logistics,supply-chain-logistics,"demand, inventory, sourcing, production, warehousing, transportation and resilience",medium,prompts/20-business-functions/supply-chain-logistics/sector-expert.md,original,CC0-1.0
20-business-functions-quality-reliability-sector-expert,20-business-functions,Quality and Reliability,quality-reliability,"quality systems, audits, defects, corrective actions, reliability and continuous improvement",medium,prompts/20-business-functions/quality-reliability/sector-expert.md,original,CC0-1.0
20-business-functions-enterprise-risk-continuity-sector-expert,20-business-functions,Enterprise Risk and Continuity,enterprise-risk-continuity,"risk frameworks, controls, business continuity, crisis management and resilience",medium,prompts/20-business-functions/enterprise-risk-continuity/sector-expert.md,original,CC0-1.0
20-business-functions-legal-contracts-sector-expert,20-business-functions,Legal and Contracts,legal-contracts,"contract analysis, obligations, negotiation issues, legal research and counsel preparation",high,prompts/20-business-functions/legal-contracts/sector-expert.md,original,CC0-1.0
20-business-functions-compliance-privacy-governance-sector-expert,20-business-functions,"Compliance, Privacy and Governance",compliance-privacy-governance,"regulatory mapping, policies, controls, data protection and governance",high,prompts/20-business-functions/compliance-privacy-governance/sector-expert.md,original,CC0-1.0
20-business-functions-esg-sustainability-sector-expert,20-business-functions,ESG and Sustainability,esg-sustainability,"environmental, social and governance strategy, reporting, impact and transition plans",medium,prompts/20-business-functions/esg-sustainability/sector-expert.md,original,CC0-1.0
20-business-functions-facilities-workplace-sector-expert,20-business-functions,Facilities and Workplace,facilities-workplace,"workplace operations, safety, space, maintenance, assets and employee experience",medium,prompts/20-business-functions/facilities-workplace/sector-expert.md,original,CC0-1.0
20-business-functions-corporate-communications-pr-sector-expert,20-business-functions,Corporate Communications and PR,corporate-communications-pr,"internal communications, media relations, crisis messaging and reputation",medium,prompts/20-business-functions/corporate-communications-pr/sector-expert.md,original,CC0-1.0
20-business-functions-mergers-acquisitions-sector-expert,20-business-functions,Mergers and Acquisitions,mergers-acquisitions,"target screening, due diligence, valuation, integration and synergy tracking",medium,prompts/20-business-functions/mergers-acquisitions/sector-expert.md,original,CC0-1.0
30-technology-engineering-software-engineering-sector-expert,30-technology-engineering,Software Engineering,software-engineering,"requirements, design, implementation, code review, testing, refactoring and maintenance",medium,prompts/30-technology-engineering/software-engineering/sector-expert.md,original,CC0-1.0
30-technology-engineering-web-mobile-development-sector-expert,30-technology-engineering,Web and Mobile Development,web-mobile-development,"frontend, backend, full-stack, mobile applications, accessibility and performance",medium,prompts/30-technology-engineering/web-mobile-development/sector-expert.md,original,CC0-1.0
30-technology-engineering-software-architecture-sector-expert,30-technology-engineering,Software Architecture,software-architecture,"system design, trade-offs, interfaces, scalability, resilience and architecture decisions",medium,prompts/30-technology-engineering/software-architecture/sector-expert.md,original,CC0-1.0
30-technology-engineering-quality-assurance-testing-sector-expert,30-technology-engineering,Quality Assurance and Testing,quality-assurance-testing,"test strategy, automation, functional and nonfunctional testing, defects and release quality",medium,prompts/30-technology-engineering/quality-assurance-testing/sector-expert.md,original,CC0-1.0
30-technology-engineering-devops-cicd-sector-expert,30-technology-engineering,DevOps and CI/CD,devops-cicd,"builds, deployment, infrastructure as code, pipelines, release engineering and developer experience",medium,prompts/30-technology-engineering/devops-cicd/sector-expert.md,original,CC0-1.0
30-technology-engineering-cloud-computing-sector-expert,30-technology-engineering,Cloud Computing,cloud-computing,"cloud architecture, migration, governance, cost, security and operations",medium,prompts/30-technology-engineering/cloud-computing/sector-expert.md,original,CC0-1.0
30-technology-engineering-it-infrastructure-sre-sector-expert,30-technology-engineering,IT Infrastructure and SRE,it-infrastructure-sre,"systems, observability, reliability, capacity, incidents and service management",medium,prompts/30-technology-engineering/it-infrastructure-sre/sector-expert.md,original,CC0-1.0
30-technology-engineering-cybersecurity-sector-expert,30-technology-engineering,Cybersecurity,cybersecurity,"threat modeling, secure design, vulnerability management, detection, response and recovery",high,prompts/30-technology-engineering/cybersecurity/sector-expert.md,original,CC0-1.0
30-technology-engineering-data-engineering-sector-expert,30-technology-engineering,Data Engineering,data-engineering,"ingestion, transformation, orchestration, quality, lineage and data platforms",medium,prompts/30-technology-engineering/data-engineering/sector-expert.md,original,CC0-1.0
30-technology-engineering-data-science-analytics-sector-expert,30-technology-engineering,Data Science and Analytics,data-science-analytics,"statistics, exploration, experimentation, modeling, visualization and decisions",medium,prompts/30-technology-engineering/data-science-analytics/sector-expert.md,original,CC0-1.0
30-technology-engineering-ai-machine-learning-sector-expert,30-technology-engineering,AI and Machine Learning,ai-machine-learning,"ML lifecycle, features, models, evaluation, deployment, monitoring and responsible AI",medium,prompts/30-technology-engineering/ai-machine-learning/sector-expert.md,original,CC0-1.0
30-technology-engineering-generative-ai-agents-sector-expert,30-technology-engineering,Generative AI and Agents,generative-ai-agents,"LLMs, prompting, RAG, agents, tool use, memory, guardrails and evaluation",medium,prompts/30-technology-engineering/generative-ai-agents/sector-expert.md,original,CC0-1.0
30-technology-engineering-mcp-integrations-automation-sector-expert,30-technology-engineering,"MCP, Integrations and Automation",mcp-integrations-automation,"MCP servers, APIs, webhooks, n8n, Make, orchestration and human approvals",medium,prompts/30-technology-engineering/mcp-integrations-automation/sector-expert.md,original,CC0-1.0
30-technology-engineering-databases-data-modeling-sector-expert,30-technology-engineering,Databases and Data Modeling,databases-data-modeling,"relational and NoSQL design, SQL, migrations, transactions, tuning and governance",medium,prompts/30-technology-engineering/databases-data-modeling/sector-expert.md,original,CC0-1.0
30-technology-engineering-api-integration-sector-expert,30-technology-engineering,APIs and Integration,api-integration,"REST, GraphQL, events, contracts, gateways, integration tests and interoperability",medium,prompts/30-technology-engineering/api-integration/sector-expert.md,original,CC0-1.0
30-technology-engineering-semiconductors-microelectronics-sector-expert,30-technology-engineering,Semiconductors and Microelectronics,semiconductors-microelectronics,"IC architecture, RTL, IP, implementation, packaging, yield and product engineering",medium,prompts/30-technology-engineering/semiconductors-microelectronics/sector-expert.md,original,CC0-1.0
30-technology-engineering-design-verification-uvm-sector-expert,30-technology-engineering,Design Verification and UVM,design-verification-uvm,"SystemVerilog, UVM, SVA, coverage, VIP, protocols, test planning and debug",medium,prompts/30-technology-engineering/design-verification-uvm/sector-expert.md,original,CC0-1.0
30-technology-engineering-post-silicon-validation-sector-expert,30-technology-engineering,Post-Silicon Validation,post-silicon-validation,"silicon bring-up, lab validation, telemetry, failure triage and HW/SW co-debug",medium,prompts/30-technology-engineering/post-silicon-validation/sector-expert.md,original,CC0-1.0
30-technology-engineering-embedded-firmware-iot-sector-expert,30-technology-engineering,"Embedded Systems, Firmware and IoT",embedded-firmware-iot,"MCUs, firmware, RTOS, drivers, interfaces, device security and fleet operations",medium,prompts/30-technology-engineering/embedded-firmware-iot/sector-expert.md,original,CC0-1.0
30-technology-engineering-electrical-electronics-sector-expert,30-technology-engineering,Electrical and Electronics Engineering,electrical-electronics,"circuits, power, controls, PCB, signals, testing and safety",medium,prompts/30-technology-engineering/electrical-electronics/sector-expert.md,original,CC0-1.0
30-technology-engineering-telecommunications-networking-sector-expert,30-technology-engineering,Telecommunications and Networking,telecommunications-networking,"wired, wireless, RF, networks, protocols, performance and operations",medium,prompts/30-technology-engineering/telecommunications-networking/sector-expert.md,original,CC0-1.0
30-technology-engineering-robotics-control-automation-sector-expert,30-technology-engineering,"Robotics, Control and Automation",robotics-control-automation,"sensing, control, motion, autonomy, industrial automation and safety",medium,prompts/30-technology-engineering/robotics-control-automation/sector-expert.md,original,CC0-1.0
30-technology-engineering-blockchain-web3-sector-expert,30-technology-engineering,Blockchain and Web3,blockchain-web3,"distributed ledgers, smart contracts, DeFi, identity, tokenization and governance",medium,prompts/30-technology-engineering/blockchain-web3/sector-expert.md,original,CC0-1.0
30-technology-engineering-quantum-computing-sector-expert,30-technology-engineering,Quantum Computing,quantum-computing,"algorithms, circuits, error correction, simulation and quantum applications",medium,prompts/30-technology-engineering/quantum-computing/sector-expert.md,original,CC0-1.0
30-technology-engineering-ar-vr-spatial-computing-sector-expert,30-technology-engineering,"AR, VR and Spatial Computing",ar-vr-spatial-computing,"immersive experience design, 3D interaction, devices, content and usability",medium,prompts/30-technology-engineering/ar-vr-spatial-computing/sector-expert.md,original,CC0-1.0
30-technology-engineering-game-development-sector-expert,30-technology-engineering,Game Development,game-development,"game systems, engines, gameplay, assets, testing, live operations and monetization",medium,prompts/30-technology-engineering/game-development/sector-expert.md,original,CC0-1.0
30-technology-engineering-technical-documentation-sector-expert,30-technology-engineering,Technical Documentation,technical-documentation,"requirements, specifications, API docs, runbooks, manuals and knowledge transfer",medium,prompts/30-technology-engineering/technical-documentation/sector-expert.md,original,CC0-1.0
40-science-research-academic-research-sector-expert,40-science-research,Academic Research,academic-research,"research questions, methods, literature, ethics, analysis, writing and peer review",medium,prompts/40-science-research/academic-research/sector-expert.md,original,CC0-1.0
40-science-research-mathematics-statistics-sector-expert,40-science-research,Mathematics and Statistics,mathematics-statistics,"proofs, modeling, probability, inference, optimization and computation",medium,prompts/40-science-research/mathematics-statistics/sector-expert.md,original,CC0-1.0
40-science-research-physics-sector-expert,40-science-research,Physics,physics,"theory, experiment, measurement, simulation and scientific communication",medium,prompts/40-science-research/physics/sector-expert.md,original,CC0-1.0
40-science-research-chemistry-materials-sector-expert,40-science-research,Chemistry and Materials Science,chemistry-materials,"synthesis, characterization, materials selection, safety and applications",medium,prompts/40-science-research/chemistry-materials/sector-expert.md,original,CC0-1.0
40-science-research-biology-life-sciences-sector-expert,40-science-research,Biology and Life Sciences,biology-life-sciences,"molecular, cellular, organismal, ecological and experimental biology",medium,prompts/40-science-research/biology-life-sciences/sector-expert.md,original,CC0-1.0
40-science-research-biotechnology-bioinformatics-sector-expert,40-science-research,Biotechnology and Bioinformatics,biotechnology-bioinformatics,"omics, computational biology, synthetic biology, gene editing and bioprocessing",medium,prompts/40-science-research/biotechnology-bioinformatics/sector-expert.md,original,CC0-1.0
40-science-research-pharmaceuticals-drug-discovery-sector-expert,40-science-research,Pharmaceuticals and Drug Discovery,pharmaceuticals-drug-discovery,"targets, screening, preclinical development, formulation and pharmacovigilance",medium,prompts/40-science-research/pharmaceuticals-drug-discovery/sector-expert.md,original,CC0-1.0
40-science-research-clinical-research-sector-expert,40-science-research,Clinical Research,clinical-research,"protocols, ethics, trial operations, data, statistics and reporting",high,prompts/40-science-research/clinical-research/sector-expert.md,original,CC0-1.0
40-science-research-healthcare-digital-medtech-sector-expert,40-science-research,Digital Health and MedTech,healthcare-digital-medtech,"clinical workflows, devices, telehealth, interoperability, safety and evidence",medium,prompts/40-science-research/healthcare-digital-medtech/sector-expert.md,original,CC0-1.0
40-science-research-mechanical-engineering-sector-expert,40-science-research,Mechanical Engineering,mechanical-engineering,"mechanics, thermal systems, fluids, machines, CAD, testing and reliability",medium,prompts/40-science-research/mechanical-engineering/sector-expert.md,original,CC0-1.0
40-science-research-civil-structural-engineering-sector-expert,40-science-research,Civil and Structural Engineering,civil-structural-engineering,"infrastructure, structures, geotechnics, water, construction and asset management",medium,prompts/40-science-research/civil-structural-engineering/sector-expert.md,original,CC0-1.0
40-science-research-industrial-systems-engineering-sector-expert,40-science-research,Industrial and Systems Engineering,industrial-systems-engineering,"systems modeling, operations research, ergonomics, production and optimization",medium,prompts/40-science-research/industrial-systems-engineering/sector-expert.md,original,CC0-1.0
40-science-research-aerospace-aviation-space-sector-expert,40-science-research,"Aerospace, Aviation and Space",aerospace-aviation-space,"aircraft, spacecraft, missions, operations, safety and space economy",medium,prompts/40-science-research/aerospace-aviation-space/sector-expert.md,original,CC0-1.0
40-science-research-energy-renewables-sector-expert,40-science-research,Energy and Renewables,energy-renewables,"generation, grids, storage, solar, wind, hydrogen, economics and transition",medium,prompts/40-science-research/energy-renewables/sector-expert.md,original,CC0-1.0
40-science-research-environment-climate-sector-expert,40-science-research,Environment and Climate,environment-climate,"ecology, pollution, climate risk, mitigation, adaptation and environmental management",medium,prompts/40-science-research/environment-climate/sector-expert.md,original,CC0-1.0
40-science-research-agriculture-forestry-fisheries-sector-expert,40-science-research,"Agriculture, Forestry and Fisheries",agriculture-forestry-fisheries,"production, soil, crops, livestock, forests, aquaculture and sustainable management",medium,prompts/40-science-research/agriculture-forestry-fisheries/sector-expert.md,original,CC0-1.0
40-science-research-food-science-safety-sector-expert,40-science-research,Food Science and Safety,food-science-safety,"processing, formulation, quality, microbiology, packaging and regulation",medium,prompts/40-science-research/food-science-safety/sector-expert.md,original,CC0-1.0
40-science-research-earth-ocean-atmospheric-sector-expert,40-science-research,"Earth, Ocean and Atmospheric Sciences",earth-ocean-atmospheric,"geology, hydrology, oceans, weather, hazards and earth observation",medium,prompts/40-science-research/earth-ocean-atmospheric/sector-expert.md,original,CC0-1.0
50-creative-media-culture-writing-editing-publishing-sector-expert,50-creative-media-culture,"Writing, Editing and Publishing",writing-editing-publishing,"ideation, drafting, editing, publishing, books and editorial workflows",medium,prompts/50-creative-media-culture/writing-editing-publishing/sector-expert.md,original,CC0-1.0
50-creative-media-culture-content-creation-strategy-sector-expert,50-creative-media-culture,Content Creation and Strategy,content-creation-strategy,"audiences, content pillars, calendars, production, repurposing and analytics",medium,prompts/50-creative-media-culture/content-creation-strategy/sector-expert.md,original,CC0-1.0
50-creative-media-culture-film-video-production-sector-expert,50-creative-media-culture,Film and Video Production,film-video-production,"development, preproduction, directing, cinematography, editing and distribution",medium,prompts/50-creative-media-culture/film-video-production/sector-expert.md,original,CC0-1.0
50-creative-media-culture-storytelling-screenwriting-sector-expert,50-creative-media-culture,Storytelling and Screenwriting,storytelling-screenwriting,"premise, plot, character, scenes, dialogue, episodes and story worlds",medium,prompts/50-creative-media-culture/storytelling-screenwriting/sector-expert.md,original,CC0-1.0
50-creative-media-culture-image-generation-art-direction-sector-expert,50-creative-media-culture,Image Generation and Art Direction,image-generation-art-direction,"visual briefs, composition, lighting, materials, consistency and image editing",medium,prompts/50-creative-media-culture/image-generation-art-direction/sector-expert.md,original,CC0-1.0
50-creative-media-culture-graphic-brand-design-sector-expert,50-creative-media-culture,Graphic and Brand Design,graphic-brand-design,"identity, typography, layouts, systems, campaigns and design critique",medium,prompts/50-creative-media-culture/graphic-brand-design/sector-expert.md,original,CC0-1.0
50-creative-media-culture-ux-ui-design-sector-expert,50-creative-media-culture,UX and UI Design,ux-ui-design,"research, flows, information architecture, interfaces, prototyping and usability",medium,prompts/50-creative-media-culture/ux-ui-design/sector-expert.md,original,CC0-1.0
50-creative-media-culture-photography-sector-expert,50-creative-media-culture,Photography,photography,"concepts, lighting, lenses, composition, shoots, editing and portfolios",medium,prompts/50-creative-media-culture/photography/sector-expert.md,original,CC0-1.0
50-creative-media-culture-music-audio-podcasting-sector-expert,50-creative-media-culture,"Music, Audio and Podcasting",music-audio-podcasting,"composition, production, sound design, recording, episodes and distribution",medium,prompts/50-creative-media-culture/music-audio-podcasting/sector-expert.md,original,CC0-1.0
50-creative-media-culture-advertising-sector-expert,50-creative-media-culture,Advertising,advertising,"creative strategy, concepts, copy, media, testing and campaign optimization",medium,prompts/50-creative-media-culture/advertising/sector-expert.md,original,CC0-1.0
50-creative-media-culture-journalism-news-sector-expert,50-creative-media-culture,Journalism and News,journalism-news,"reporting, verification, interviews, editing, ethics and newsroom workflows",medium,prompts/50-creative-media-culture/journalism-news/sector-expert.md,original,CC0-1.0
50-creative-media-culture-social-media-creator-economy-sector-expert,50-creative-media-culture,Social Media and Creator Economy,social-media-creator-economy,"platform strategy, short-form content, community, sponsorships and analytics",medium,prompts/50-creative-media-culture/social-media-creator-economy/sector-expert.md,original,CC0-1.0
